Stock,Ticker,current_price,forecasted_price,forecasted_price_change,percent_change,current_volatility,forecasted_volatility,forecasted_volatility_change,model_error_last_week,model_mda_last_week
EXPE,Expedia Group,135.99000549316406,132.95672719787598,-3.033278295288085,-2.2305156061197167,0.0208019914404988,0.0288831417191298,164.66708156556317,142.85602111910927,42.857142857142854
EXPD,Expeditors International,115.56999969482422,118.89701491719512,3.3270152223709033,2.878787947699461,0.0407427837765023,0.022292801562868,-65.6028054117316,119.16667952027423,42.857142857142854
EXR,Extra Space Storage,141.4199981689453,142.43841483994333,1.0184166709980218,0.7201362495998518,0.0002485743453249,0.018295915394273,99.96285147524215,142.57213971501236,14.285714285714285
XOM,ExxonMobil,102.75,101.24889190018081,-1.5011080998191915,-1.4609324572449551,0.0067122453653239,0.0150134017619678,-28.570032181806308,100.64581458168077,28.57142857142857
FFIV,"F5, Inc.",183.13999938964844,183.41197923613282,0.2719798464843848,0.1485092537898948,0.0076562507910611,0.0108230096678874,-1.7564266514695843,184.05668075757427,42.857142857142854
FDS,FactSet,456.8599853515625,418.55480247161864,-38.30518287994386,-8.384446900173865,0.0061751279657179,0.0134753305654595,342.810986601482,418.08535848453784,28.57142857142857
FICO,Fair Isaac,1259.199951171875,1188.963166332892,-70.23678483898311,-5.5778897365440026,0.0014289594352086,0.0201683174322781,260.9098551852691,1169.6628763165588,57.14285714285714
FAST,Fastenal,70.08000183105469,68.88131397585296,-1.198687855201726,-1.7104563696951118,0.0025190939088489,0.0142011425771959,243.80931569772372,67.55363389860965,57.14285714285714
FRT,Federal Realty,99.41000366210938,97.58463223776727,-1.8253714243421086,-1.8362049664000346,0.005345384814643,0.0150117516163044,112.12845536750729,99.23023569102212,42.857142857142854
FDX,FedEx,239.5399932861328,234.08192755976563,-5.458065726367181,-2.2785613589992337,0.0025881601695761,0.0182058251237765,6376.4424887559635,235.88424971923564,57.14285714285714
FIS,Fidelity National Information Services,62.959999084472656,63.105724109819874,0.1457250253472182,0.2314565239299015,0.0077072937911514,0.0214442245757922,62.58900843568268,61.4711219738364,42.857142857142854
FITB,Fifth Third Bank,33.79999923706055,33.211485299827274,-0.588513937233273,-1.741165534074887,0.0033399031038302,0.0193354134281166,408.72977200429494,32.39256163288336,71.42857142857143
FSLR,First Solar,153.25,144.93334846567785,-8.316651534322148,-5.426852550944305,0.0045030870183021,0.0319503593688647,1506.5659269137361,141.0429069150251,57.14285714285714
